IoC,Type
CVE-2023-46604,Vuln
c356aff1a01c2b0da472e584c8e3c8f875b9a24280435d42836a77b19f5a8c18,FileHash3
c61b1941cf756eb7551f7c661743802362728b785adc22e860d269713dfb01a6,FileHash3
d5b7247c497788cf0031ceb06e3df77a45fef59f1e49633dc7159816d64759b5,FileHash3
e91fb249aa97be5c7931e430781167edfe7ba804720b5f643e6ab70b7e6e74dd,FileHash3
f1c3ebe78bd8c38559bf3cfcc9a9fa37d221e31780774a3787e26160a61f5348,FileHash3
afxwd.ddns.net,Domain
andrefelipedonascime1778799406970.2241107.meusitehostgator.com.br,Domain
bth.startthewave.org,Domain
catalogo.castrouria.com,Domain
fostercareintheus.optimizationprime.com,Domain
pengajian.muliastudy.com,Domain
xtadts.ddns.net,Domain
