IoC ,Type
www.shirideitch.com,Domain
api.ra-backup.com,Domain
update-crisis.info,Domain
gov-alerts.net,Domain
scorpius-c2.org,Domain
185.203.118.45,IP
91.214.44.72,IP
37.120.145.88,IP
f3a9d2c8b7e1a4d9c5e0f8a9d3b2c7e1,FileHash1
9d8c7b6a5f4e3d2c1b0a9e8f7d6c5b4a,FileHash1
a7c6d5e4f3b2a1c0d9e8f7a6b5c4d3e2,FileHash1
update-aero.org,Domain
scada-control.net,Domain
secure-update.org,Domain
gov-login.info,Domain
iran-c2.net,Domain
138.68.90.19,IP
167.99.202.130,IP
78.141.238.182,IP
51.16.51.81,IP
51.20.138.134,IP
134.209.30.220,IP
13.53.124.246,IP
api.gupdate.net,Domain
githubapp.net,Domain
18.134.0.66,IP
193.149.190.248,IP
45.76.65.42,IP
206.71.148.78,IP
193.149.187.41,IP
login.forticloud.online,Domain
fortigate.forticloud.online,Domain
cloud.sophos.one,Domain
1f96d15b26416b2c7043ee7172357af3afbb002a,FileHash2
3d3cdf7cfc881678febcafb26ae423fe5aa4efec,FileHash2
95.181.234.12,IP
95.181.234.25,IP
173.239.232.20,IP
172.98.71.191,IP
102.129.235.127,IP
188.126.94.60,IP
149.40.50.45,IP
181.214.166.59,IP
212.102.39.212,IP
149.57.16.134,IP
149.57.16.137,IP
102.129.235.186,IP
46.246.8.138,IP
149.57.16.160,IP
149.57.16.37,IP
46.246.8.137,IP
212.102.57.29,IP
46.246.8.82,IP
95.181.234.15,IP
45.88.97.225,IP
84.239.45.17,IP
46.246.8.104,IP
37.46.113.206,IP
46.246.3.186,IP
46.246.8.141,IP
46.246.8.17,IP
37.19.197.182,IP
154.16.192.38,IP
102.165.16.127,IP
46.246.8.47,IP
46.246.3.225,IP
46.246.3.226,IP
46.246.3.240,IP
191.101.217.10,IP
102.129.153.182,IP
46.246.3.196,IP
102.129.152.60,IP
156.146.60.74,IP
191.96.227.113,IP
191.96.227.122,IP
181.214.166.132,IP
188.126.94.57,IP
154.6.13.144,IP
154.6.13.151,IP
188.126.94.166,IP
89.149.38.204,IP
46.246.8.67,IP
46.246.8.53,IP
154.16.192.37,IP
191.96.150.14,IP
191.96.150.96,IP
46.246.8.10,IP
84.239.25.13,IP
154.6.13.139,IP
191.96.106.33,IP
191.96.227.159,IP
149.57.16.150,IP
191.96.150.21,IP
46.246.8.84,IP
95.181.235.8,IP
191.96.227.102,IP
46.246.122.185,IP
146.70.102.3,IP
46.246.3.233,IP
46.246.3.239,IP
188.126.89.35,IP
46.246.3.223,IP
46.246.3.245,IP
191.96.150.50,IP
