IoC,Type
CVE-2026-85046,Vuln
CVE-2026-85880,Vuln
1a062f4982564d6d19a76884ce8bcbb6,FileHash1
295fc584f75e94108c9be945977db33ed80421f5d374eab188587c911dffd915,FileHash3
353b5bd2780c1b0c07c1283d83cf16cf1e9ec226c17b2d09d56848893f9d98ee,FileHash3
3594ad58fb6217fafe9839e53999a90608c2e9f335fa20aece3d53f8c0802726,FileHash3
3ec3151d8d1278ed966941ac89ea495ef6a80c70613dd9138cc85fc28c9df432,FileHash3
6e6378d8d404166da89d982e80bc52e19a3f677201258dec1775f100a027a92d,FileHash3
779b3e1a470e589d492b99154ba11622fbaebb19b3de694f660c725411b7096d,FileHash3
7d6f6dcb17a423bdd7715f8a4e34f2939501a761bc9bf7aa005f805ef1f82288,FileHash3
8453c42904b7b2fea5671b7bff06b2d937632ae29545fd11bc13095627a2805f,FileHash3
87b6b24c06f99900a8aa579caedee1e402015884c925a98dcfb0fb38dfa2de22,FileHash3
a4a6a04d85eca8d584d939d2437c85a4f291207d8042f2ec002838e336b72ef5,FileHash3
ac6806c89e294f390838cb07c015dabec1c8ada06ce5161a0ad50b8a72828141,FileHash3
ac6bbc4b1f1c62e308781329183a46e18f454c27e66bffa09f343b53ac622b69,FileHash3
b34802a646fc4a8f07ffa09a5fda8bf7327446b22e3d7bb5163dafa1e2a8bb2b,FileHash3
bc7d24f5cf8937b334966201bdcce8ca9bab6ec5889d40a399d4094dcad73360,FileHash3
e950d03c58d49e28e31df8afeefca1f3b3d2cd6b697c40adfee1a4f6fe18f004,FileHash3
f3c64014221a58f3fde88e562662dbd5a1b3dd2b59c86e9e2bc5cb8f671664e7,FileHash3
ff1b49aaec994f4c11f2c9331e739abb4bc3d6abf66ec50ce99709fba35d782b,FileHash3
airindia.fit,Domain
airliquide.lol,Domain
airproducts.ink,Domain
apollohospitals.fit,Domain
attcdn.com,Domain
aurexdefense.online,Domain
bosch-sensortec.site,Domain
brianwilli.com,Domain
checrity.com,Domain
cyclokinetics.online,Domain
elixnovorem.com,Domain
emcore.ink,Domain
epsilonsystems.net,Domain
fracons.com,Domain
getaiexo.com,Domain
haloengines.net,Domain
jetoptera.co,Domain
joinmacket.com,Domain
lindes.ink,Domain
msbenefit.com,Domain
openlumakora.com,Domain
precipart.ink,Domain
rocketlabusa.ink,Domain
secboxes.com,Domain
silvustechnologies.online,Domain
smxtech.xyz,Domain
sncorp.fit,Domain
spectrolab.fit,Domain
tcomlp.online,Domain
v8-ctf-chrome-stage4-handover.md,Domain
velodynaity.com,Domain
worldview.fit,Domain
1a062f4982564d6d19a76884ce8bcbb6.r2.cloudflarestorage.com,Domain
api-prod.secboxes.com,Domain
asianstudies.secboxes.com,Domain
data.attcdn.com,Domain
dns.elixnovorem.com,Domain
dns.getaiexo.com,Domain
download.secboxes.com,Domain
evidence.msbenefit.com,Domain
homepage.brianwilli.com,Domain
materials-project.secboxes.com,Domain
ms.checrity.com,Domain
project.secboxes.com,Domain
publish.openlumakora.com,Domain
recommendation-letter.secboxes.com,Domain
wcce.joinmacket.com,Domain
zki0y83.msbenefit.com,Domain
