IoC,Type
icloud.com,Domain
dropbox.com,Domain
drive.google.com,Domain
trello.com,Domain
hidrive.com,Domain
cloudinary.com,Domain
wetransfer.com,Domain
oraclecloud.com,Domain
sharefile.com,Domain
herokuapp.com,Domain
notion.so,Domain
pcloud.com,Domain
digitaloceanspaces.com,Domain
imagekit.io,Domain
jottacloud.com,Domain
backblazeb2.com,Domain
discord.com,Domain
jabra-direct.exe,Process
Dropbox.exe,Process
mbamservice.exe,Process
bluemail.exe,Process
goveedesktop2.30.05.exe,Process
gameinputredistservice.exe,Process
rapidauthort_x64.exe,Process
jkiupdate.exe,Process
Cnpspcnt.exe,Process
mbamscheduler.exe,Process
GoogleDriveFS.exe,Process
nc.exe,Process
ncat.exe,Process
mbam.exe,Process


