IoC,Type
CVE-2026-85046,Vuln
CVE-2026-85880,Vuln
CVE-2026-87491,Vuln
337b48c1cd6dd6e7b8073327082a60e149517fa084ba17b180e041fffa3b130d,FileHash3
3b71d721c39fad92a44ddd764bbb34afeae44a5db886d0a4827a399a5fbd367f,FileHash3
51462a23ac25e1bd0e49b7cae7f3a71f8d2201e22d45175b587e4740b49863cc,FileHash3
56eda0ac82e06ee609b034306025e67df161c5877399c305c8eaea136e80c951,FileHash3
5995f42a828606705a7339d58a665c229936e81c4e539cdfa115eb46a2eb53d6,FileHash3
59dc108e22cb856c228bbf8a1ab955fb66f0844a07fe10fa0d9fc3823d2cbbcb,FileHash3
5eb5645511b00e4f4d73125654eeb3a3930fcf09c65685dc7f03f725331492e3,FileHash3
69c1603f3f9015beb0097d0a3bb0f17400c314e2eae65a7eceacd3b93ea570dc,FileHash3
7a52ff23949edee8faa61ce0def6dbca8b7e5943c54d23376cc190762ea3985c,FileHash3
b7b0cd6539464ab39c6526e499f86d611faa21c5af945535ebaf187cec543af1,FileHash3
cd0c21f9b32b7feeda1787fccab622dec60ecdf84c0538c08bde3946856b0fa0,FileHash3
d17053557bb90298f7b115432b4820a248fdbe678bca31721529b1f51a82343b,FileHash3
e2a59432ce2b0d83ded936374a11fca3d3defaf4aab90eb37fca58683eae32c0,FileHash3
206.166.251.164,IP
gitprogram.com,Domain
msbenefit.com,Domain
cloud.shinewrist.net,Domain
document.gitprogram.com,Domain
ocr.opusaccel.top,Domain
photos.msbenefit.com,Domain
proof.gitprogram.com,Domain
xyz0102.gitprogram.com,Domain
